,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,0.044375,0.0034375,0.045625,0.03375,0.0178125,0.016875,0.00375,-0.0165625,-0.0015625,0.0653125
1,0.0609375,0.0221875,0.0653125,0.0375,0.02125,0.0278125,0.0159375,-0.02375,0.0009375,0.10375
2,0.063125,0.0046875,0.07125,0.05375,0.0384375,0.0325,0.0215625,-0.035,-0.00875,0.1128125
3,0.088125,0.0290625,0.0646875,0.0384375,0.060625,0.03625,0.023125,-0.050625,-0.010625,0.1171875
4,0.1,0.0315625,0.0684375,0.0409375,0.0709375,0.0378125,0.0625,-0.066875,-0.0409375,0.1184375
5,0.0921875,0.034375,0.0725,0.0675,0.075625,0.04,0.0990625,-0.08125,-0.045,0.1153125
6,0.1015625,0.05625,0.0646875,0.0878125,0.0959375,0.045,0.0865625,-0.0984375,-0.05,0.10125
7,0.104375,0.059375,0.071875,0.090625,0.0934375,0.0546875,0.075,-0.0971875,-0.0553125,0.1265625
8,0.1128125,0.09625,0.0784375,0.0940625,0.105625,0.0590625,0.0834375,-0.095625,-0.07875,0.12875
9,0.1184375,0.093125,0.083125,0.1059375,0.091875,0.066875,0.0978125,-0.1025,-0.07125,0.1253125
10,0.1390625,0.0953125,0.1046875,0.089375,0.11,0.0575,0.1025,-0.1078125,-0.0721875,0.1265625
11,0.1528125,0.099375,0.11375,0.095625,0.1115625,0.0515625,0.105625,-0.095625,-0.078125,0.1171875
12,0.1421875,0.0975,0.1309375,0.0940625,0.133125,0.0640625,0.1003125,-0.0915625,-0.0903125,0.1240625
13,0.1571875,0.1090625,0.1415625,0.1003125,0.131875,0.0778125,0.109375,-0.11125,-0.0953125,0.1159375
14,0.1625,0.11875,0.1303125,0.094375,0.14125,0.075625,0.1240625,-0.114375,-0.1003125,0.10125
15,0.1771875,0.1284375,0.129375,0.104375,0.1375,0.083125,0.1375,-0.110625,-0.1,0.114375
16,0.175,0.135625,0.125625,0.11125,0.1465625,0.096875,0.1421875,-0.1209375,-0.09875,0.1075
17,0.1790625,0.1465625,0.11375,0.09875,0.1440625,0.0834375,0.148125,-0.129375,-0.1303125,0.0903125
18,0.1734375,0.1459375,0.1234375,0.1153125,0.1471875,0.083125,0.1509375,-0.1171875,-0.14375,0.085
19,0.17625,0.151875,0.12875,0.120625,0.1515625,0.06625,0.154375,-0.1096875,-0.1421875,0.08875
20,0.185625,0.1503125,0.1459375,0.115625,0.173125,0.0771875,0.1596875,-0.11,-0.145625,0.0903125
21,0.18375,0.1453125,0.1453125,0.1125,0.1790625,0.0815625,0.1540625,-0.1215625,-0.1409375,0.0865625
22,0.1871875,0.1496875,0.143125,0.1146875,0.175,0.0815625,0.14875,-0.1209375,-0.1534375,0.080625
23,0.1896875,0.149375,0.1415625,0.121875,0.1678125,0.086875,0.1615625,-0.115,-0.166875,0.0815625
24,0.1934375,0.151875,0.1525,0.1009375,0.1865625,0.08125,0.169375,-0.119375,-0.1696875,0.0796875
25,0.18625,0.16,0.1746875,0.1175,0.1965625,0.0778125,0.1653125,-0.11875,-0.1734375,0.076875
26,0.194375,0.1565625,0.16375,0.1246875,0.1878125,0.079375,0.173125,-0.1140625,-0.1696875,0.07125
27,0.224375,0.16375,0.161875,0.1315625,0.191875,0.0678125,0.183125,-0.1115625,-0.1678125,0.06125
28,0.2284375,0.159375,0.1634375,0.13,0.1928125,0.0725,0.1946875,-0.11875,-0.165,0.0459375
29,0.226875,0.1665625,0.1540625,0.1403125,0.199375,0.0728125,0.1878125,-0.113125,-0.1615625,0.045625
30,0.2290625,0.159375,0.1596875,0.129375,0.2071875,0.0653125,0.19625,-0.1228125,-0.1715625,0.05375
31,0.2321875,0.169375,0.1684375,0.139375,0.215,0.0646875,0.1990625,-0.135625,-0.1840625,0.0478125
32,0.231875,0.17625,0.169375,0.1453125,0.2165625,0.0621875,0.1996875,-0.1378125,-0.1834375,0.0453125
33,0.2346875,0.194375,0.17375,0.1515625,0.225625,0.07375,0.2065625,-0.138125,-0.185625,0.0484375
34,0.24,0.185625,0.1715625,0.150625,0.2315625,0.0765625,0.2109375,-0.1353125,-0.19125,0.0465625
35,0.243125,0.1965625,0.173125,0.1575,0.236875,0.0775,0.209375,-0.129375,-0.1859375,0.0403125
36,0.2428125,0.2125,0.1703125,0.158125,0.2246875,0.085,0.2146875,-0.13,-0.1803125,0.030625
37,0.241875,0.22,0.1696875,0.1521875,0.2290625,0.0746875,0.210625,-0.129375,-0.18125,0.0278125
38,0.2496875,0.2221875,0.154375,0.159375,0.2303125,0.0709375,0.2153125,-0.133125,-0.1825,0.0315625
39,0.26625,0.22375,0.150625,0.1615625,0.2284375,0.075625,0.219375,-0.15625,-0.1865625,0.03375
40,0.27625,0.2275,0.1421875,0.1659375,0.233125,0.0871875,0.2215625,-0.1515625,-0.17875,0.0240625
41,0.2821875,0.2440625,0.14125,0.165625,0.2278125,0.0921875,0.231875,-0.1478125,-0.1703125,0.0065625
42,0.2759375,0.23,0.1453125,0.1753125,0.23,0.08875,0.2328125,-0.1371875,-0.1759375,0.011875
43,0.2725,0.2384375,0.1525,0.17875,0.2353125,0.0890625,0.231875,-0.1425,-0.173125,0.0153125
44,0.2846875,0.2328125,0.165,0.191875,0.25125,0.095625,0.235,-0.15,-0.1771875,0.0090625
45,0.291875,0.2290625,0.170625,0.1925,0.2546875,0.0921875,0.231875,-0.1465625,-0.181875,0.013125
46,0.30125,0.22375,0.173125,0.1996875,0.2578125,0.1053125,0.235625,-0.15375,-0.18,0.016875
47,0.3121875,0.2178125,0.1759375,0.19875,0.2525,0.1034375,0.2378125,-0.1578125,-0.1875,0.0153125
48,0.3140625,0.21875,0.1665625,0.2134375,0.2575,0.108125,0.2353125,-0.1609375,-0.1896875,0.0215625
49,0.3296875,0.219375,0.1671875,0.219375,0.263125,0.109375,0.2409375,-0.1525,-0.2053125,0.0253125
50,0.329375,0.22,0.1809375,0.2240625,0.2725,0.110625,0.2440625,-0.1578125,-0.2109375,0.015625
51,0.325625,0.2165625,0.175,0.24,0.2715625,0.1078125,0.253125,-0.1525,-0.2,0.0065625
52,0.3128125,0.2178125,0.1809375,0.245625,0.2815625,0.1053125,0.264375,-0.1634375,-0.1971875,-0.00125
53,0.3215625,0.215,0.1834375,0.2515625,0.291875,0.119375,0.261875,-0.1678125,-0.1996875,-0.009375
54,0.3109375,0.2090625,0.18,0.2478125,0.2996875,0.1146875,0.276875,-0.1503125,-0.2140625,-0.018125
55,0.3028125,0.2040625,0.183125,0.251875,0.3028125,0.1203125,0.2725,-0.1440625,-0.2040625,-0.02125
56,0.310625,0.2153125,0.1859375,0.2553125,0.304375,0.1128125,0.275625,-0.14625,-0.2121875,-0.016875
57,0.320625,0.210625,0.181875,0.2675,0.3109375,0.116875,0.2753125,-0.149375,-0.2221875,-0.0215625
58,0.3153125,0.2146875,0.178125,0.2703125,0.3128125,0.1134375,0.2825,-0.149375,-0.235625,-0.01375
59,0.32,0.2265625,0.174375,0.2753125,0.306875,0.1215625,0.2928125,-0.15625,-0.2415625,-0.030625
60,0.3215625,0.2234375,0.180625,0.2784375,0.303125,0.111875,0.288125,-0.1596875,-0.2396875,-0.0315625
61,0.324375,0.2271875,0.183125,0.2878125,0.305,0.11875,0.2878125,-0.170625,-0.2303125,-0.0428125
62,0.3346875,0.228125,0.19,0.3090625,0.314375,0.1153125,0.2990625,-0.1646875,-0.246875,-0.0409375
63,0.3315625,0.2296875,0.196875,0.295,0.31625,0.1184375,0.2940625,-0.16125,-0.24,-0.039375
64,0.3384375,0.229375,0.194375,0.298125,0.3203125,0.126875,0.2871875,-0.165,-0.2340625,-0.0353125
65,0.3390625,0.23375,0.1896875,0.3040625,0.31375,0.1190625,0.285625,-0.155625,-0.2271875,-0.043125
66,0.3303125,0.2265625,0.19375,0.31375,0.3221875,0.105,0.2853125,-0.1659375,-0.236875,-0.03875
67,0.34,0.21875,0.190625,0.32125,0.3321875,0.113125,0.2834375,-0.176875,-0.2459375,-0.0428125
68,0.35375,0.221875,0.185625,0.3253125,0.3375,0.1165625,0.2834375,-0.17875,-0.2375,-0.046875
69,0.358125,0.2171875,0.1875,0.331875,0.33625,0.113125,0.29,-0.1884375,-0.24,-0.0428125
70,0.346875,0.215625,0.18375,0.33125,0.3375,0.1159375,0.294375,-0.184375,-0.24625,-0.03625
71,0.35,0.221875,0.1853125,0.3228125,0.345,0.125625,0.2975,-0.20125,-0.2421875,-0.0325
72,0.3590625,0.2246875,0.174375,0.32375,0.345625,0.124375,0.2915625,-0.2090625,-0.248125,-0.0371875
73,0.363125,0.2275,0.1778125,0.3290625,0.346875,0.120625,0.2896875,-0.215,-0.2575,-0.0340625
74,0.3609375,0.22625,0.190625,0.33,0.344375,0.1303125,0.2921875,-0.2153125,-0.25125,-0.029375
75,0.3684375,0.220625,0.1971875,0.338125,0.3496875,0.12375,0.2946875,-0.2178125,-0.25375,-0.0415625
76,0.3546875,0.2175,0.2053125,0.350625,0.3484375,0.13,0.2934375,-0.2221875,-0.26625,-0.04
77,0.365,0.225625,0.2115625,0.3471875,0.3515625,0.129375,0.2959375,-0.2234375,-0.265,-0.04
78,0.3621875,0.2328125,0.2109375,0.35875,0.360625,0.124375,0.2965625,-0.235,-0.2684375,-0.0384375
79,0.360625,0.2396875,0.206875,0.360625,0.36,0.13125,0.29375,-0.24,-0.271875,-0.0346875
80,0.3565625,0.225625,0.209375,0.3603125,0.3565625,0.129375,0.3009375,-0.2428125,-0.2678125,-0.02625
81,0.366875,0.229375,0.2115625,0.3653125,0.345,0.12375,0.306875,-0.243125,-0.2771875,-0.0390625
82,0.3765625,0.2359375,0.2059375,0.3796875,0.3440625,0.1178125,0.3121875,-0.2359375,-0.2834375,-0.0375
83,0.388125,0.235625,0.2053125,0.38125,0.3415625,0.1146875,0.2946875,-0.243125,-0.2940625,-0.031875
84,0.388125,0.2415625,0.2065625,0.3853125,0.343125,0.1071875,0.2975,-0.2440625,-0.3034375,-0.02875
85,0.3928125,0.246875,0.205,0.3821875,0.35375,0.1196875,0.285,-0.250625,-0.3178125,-0.03125
86,0.384375,0.2509375,0.2115625,0.3875,0.353125,0.115,0.2875,-0.249375,-0.315625,-0.028125
87,0.383125,0.2515625,0.21375,0.389375,0.3496875,0.1153125,0.284375,-0.25,-0.3128125,-0.0384375
88,0.391875,0.251875,0.2184375,0.3884375,0.365625,0.1059375,0.280625,-0.254375,-0.3125,-0.04125
89,0.3996875,0.2584375,0.213125,0.39,0.3684375,0.101875,0.283125,-0.2553125,-0.3153125,-0.0353125
90,0.40375,0.2559375,0.2203125,0.3965625,0.369375,0.1015625,0.29125,-0.2625,-0.31875,-0.0325
91,0.4090625,0.259375,0.21875,0.3915625,0.3696875,0.1084375,0.2878125,-0.2634375,-0.3275,-0.0190625
92,0.4278125,0.2621875,0.221875,0.4059375,0.3709375,0.1034375,0.288125,-0.2709375,-0.3396875,-0.0103125
93,0.4359375,0.2603125,0.215625,0.405,0.368125,0.111875,0.2903125,-0.2740625,-0.3378125,-0.0065625
94,0.42625,0.258125,0.21625,0.401875,0.37625,0.111875,0.291875,-0.2696875,-0.339375,-0.0109375
95,0.43125,0.26375,0.2203125,0.4059375,0.379375,0.1090625,0.2871875,-0.2840625,-0.3425,-0.0040625
96,0.43125,0.263125,0.22,0.419375,0.3765625,0.104375,0.286875,-0.284375,-0.3390625,-0.0053125
