,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,-0.06625,-0.00875,0.04875,-0.0225,0.04625,0.04375,0.00125,0.0675,0.02875,0.055
1,-0.0725,-0.0325,0.0725,-0.02625,0.08,0.06625,0.02625,0.02625,0.02125,0.06875
2,-0.0625,-0.01125,0.0475,-0.05875,0.1625,0.09,0.07125,0.00125,0.015,0.10875
3,-0.05125,-0.07125,0.00875,-0.075,0.155,0.09125,0.08375,-0.04125,-0.03125,0.1375
4,-0.05625,-0.08,-0.02,0.01875,0.1525,0.11125,0.1225,-0.0175,-0.01,0.1225
5,-0.01875,-0.08125,0.00875,0.00375,0.15,0.19125,0.1125,-0.02875,0.02875,0.09625
6,-0.0125,-0.07875,0.0725,0.0325,0.125,0.2025,0.1125,0.01125,0.05,0.1075
7,0.00375,-0.10375,0.025,0.06125,0.14375,0.1975,0.1175,0.06875,0.06875,0.09
8,0.025,-0.08625,0.035,0.05875,0.14125,0.2375,0.1025,0.055,0.09125,0.08875
9,0.03125,-0.12625,0.03875,0.07375,0.1325,0.2175,0.1025,0.12125,0.13625,0.08125
10,0.07625,-0.12625,0.04625,0.09625,0.1275,0.2575,0.14125,0.13125,0.1225,0.05125
11,0.0625,-0.06875,0.0575,0.0625,0.10375,0.2975,0.1225,0.11875,0.1525,0.06
12,0.04625,-0.08375,0.04625,0.0725,0.09875,0.27875,0.18,0.115,0.18125,0.08125
13,0.06,-0.06125,0.06375,0.08,0.0825,0.3075,0.225,0.11125,0.20875,0.0225
14,0.10875,-0.01625,0.08625,0.06,0.07375,0.33625,0.19625,0.13875,0.26375,0.045
15,0.08,0.00125,0.09125,0.05125,0.0475,0.35,0.185,0.1225,0.28875,0.0
16,0.07375,-0.01125,0.06875,0.0425,0.0425,0.4125,0.1475,0.17125,0.32,-0.00875
17,0.05125,-0.00125,0.06625,0.0275,0.03875,0.40625,0.12625,0.195,0.35125,-0.05125
18,0.0775,-0.03875,0.10875,0.05375,-0.01125,0.40375,0.13375,0.23,0.38375,-0.02125
19,0.075,-0.04125,0.095,0.04,-0.04625,0.41125,0.17625,0.22375,0.39,-0.01375
20,0.06625,-0.02,0.04625,0.0875,-0.0925,0.43375,0.175,0.2325,0.4025,0.01
