,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
0,-0.0621875,-0.0259375,-0.0296875,0.001875,-0.0084375,-0.0275,0.005625,-0.0096875,-0.004375,0.054375
1,-0.081875,-0.0034375,-0.0546875,0.02625,-0.01375,-0.0253125,-0.0021875,-0.0146875,-0.0209375,0.056875
2,-0.1015625,-0.0096875,-0.063125,0.0334375,-0.0246875,-0.0584375,-0.005,-0.034375,0.0009375,0.038125
3,-0.0990625,0.0003125,-0.07125,0.054375,-0.03,-0.0790625,-0.0028125,-0.0525,0.009375,0.0303125
4,-0.073125,0.0009375,-0.095625,0.0675,-0.046875,-0.0703125,0.005625,-0.055,0.0209375,0.00375
5,-0.08625,-0.010625,-0.1028125,0.0790625,-0.0590625,-0.0765625,0.006875,-0.01375,0.01625,0.019375
6,-0.09125,-0.0315625,-0.1071875,0.0978125,-0.056875,-0.0675,-0.008125,-0.0209375,0.0015625,0.0221875
7,-0.0840625,-0.02,-0.125625,0.11,-0.0359375,-0.0921875,-0.0034375,-0.0171875,0.0209375,0.0271875
8,-0.0975,-0.0184375,-0.1125,0.1159375,-0.0475,-0.104375,-0.005625,-0.0296875,0.035,0.01375
9,-0.1121875,-0.0228125,-0.1115625,0.121875,-0.045,-0.0953125,0.0028125,-0.028125,0.021875,0.0028125
10,-0.10625,-0.0334375,-0.119375,0.1353125,-0.03,-0.1,0.0115625,-0.04625,0.0090625,0.004375
11,-0.095625,-0.041875,-0.1146875,0.1478125,-0.015625,-0.0725,0.028125,-0.0465625,0.004375,0.001875
12,-0.1240625,-0.0296875,-0.1034375,0.15375,0.0178125,-0.0359375,0.0334375,-0.0453125,0.01625,-0.005625
13,-0.1165625,-0.01875,-0.0978125,0.1496875,0.0146875,-0.0490625,0.03,-0.0328125,-0.0025,-0.020625
14,-0.1115625,-0.031875,-0.1090625,0.15125,0.0075,-0.0584375,0.020625,-0.0434375,-0.030625,-0.019375
15,-0.10125,-0.058125,-0.115625,0.165625,-0.0321875,-0.0496875,0.0321875,-0.0521875,-0.0484375,-0.0259375
16,-0.113125,-0.0275,-0.116875,0.1703125,-0.0446875,-0.07375,0.0434375,-0.0559375,-0.04375,0.0009375
17,-0.123125,-0.0178125,-0.1146875,0.1703125,-0.05,-0.0940625,0.0409375,-0.056875,-0.0765625,0.0025
18,-0.1078125,-0.0190625,-0.12125,0.1725,-0.0546875,-0.0928125,0.041875,-0.049375,-0.0834375,-0.024375
19,-0.11125,-0.016875,-0.11375,0.20375,-0.0534375,-0.1046875,0.0453125,-0.0575,-0.08375,-0.0171875
20,-0.11625,-0.0128125,-0.144375,0.183125,-0.0365625,-0.1225,0.0559375,-0.05875,-0.09,-0.01875
21,-0.1384375,-0.0015625,-0.13625,0.17875,-0.0303125,-0.1225,0.0653125,-0.070625,-0.0953125,-0.0246875
22,-0.1140625,0.011875,-0.163125,0.1971875,-0.0440625,-0.1425,0.0575,-0.0646875,-0.0959375,-0.014375
23,-0.1284375,0.001875,-0.181875,0.1803125,-0.024375,-0.133125,0.0496875,-0.0775,-0.100625,-0.013125
24,-0.139375,-0.011875,-0.18,0.189375,-0.023125,-0.120625,0.0615625,-0.068125,-0.0871875,-0.025625
25,-0.1321875,-0.0121875,-0.1853125,0.2040625,-0.034375,-0.125,0.0565625,-0.0803125,-0.0803125,-0.0365625
26,-0.123125,-0.0071875,-0.178125,0.2325,0.0078125,-0.120625,0.07875,-0.06625,-0.075625,-0.0340625
27,-0.13125,-0.00375,-0.1721875,0.23625,0.0028125,-0.1246875,0.07375,-0.07375,-0.0815625,-0.02375
28,-0.1309375,-0.0178125,-0.179375,0.235625,0.0215625,-0.1440625,0.05875,-0.0709375,-0.081875,-0.0378125
29,-0.15125,-0.0315625,-0.17375,0.2321875,0.0484375,-0.1509375,0.0646875,-0.0478125,-0.0853125,-0.018125
30,-0.144375,-0.030625,-0.17375,0.2240625,0.0475,-0.1525,0.0609375,-0.055625,-0.0965625,-0.0153125
31,-0.14375,-0.0396875,-0.1559375,0.219375,0.0403125,-0.1625,0.050625,-0.048125,-0.09625,-0.0278125
32,-0.1590625,-0.0471875,-0.1771875,0.2203125,0.0509375,-0.16375,0.049375,-0.05,-0.1,-0.0328125
33,-0.1765625,-0.05,-0.1840625,0.2153125,0.0371875,-0.1659375,0.0534375,-0.050625,-0.1078125,-0.05625
34,-0.18,-0.040625,-0.1771875,0.2109375,0.0434375,-0.18125,0.0465625,-0.0309375,-0.0903125,-0.0509375
35,-0.2015625,-0.038125,-0.19,0.2134375,0.0471875,-0.1978125,0.05375,-0.02875,-0.0821875,-0.0434375
36,-0.2309375,-0.0153125,-0.1903125,0.2034375,0.0546875,-0.194375,0.053125,-0.03125,-0.0728125,-0.0621875
37,-0.2134375,-0.0184375,-0.1921875,0.203125,0.0653125,-0.1903125,0.054375,-0.0428125,-0.0934375,-0.056875
38,-0.224375,-0.0196875,-0.1853125,0.2178125,0.044375,-0.1921875,0.060625,-0.036875,-0.093125,-0.0478125
39,-0.218125,-0.0284375,-0.1803125,0.2421875,0.0446875,-0.2028125,0.0775,-0.041875,-0.099375,-0.0434375
40,-0.2246875,-0.0265625,-0.16375,0.244375,0.051875,-0.20625,0.1040625,-0.0240625,-0.10125,-0.0284375
41,-0.2384375,-0.0153125,-0.1609375,0.2465625,0.055625,-0.2059375,0.0953125,-0.0178125,-0.1015625,-0.0234375
42,-0.261875,-0.0346875,-0.1453125,0.2628125,0.0753125,-0.210625,0.0840625,-0.0125,-0.0871875,-0.0096875
43,-0.2625,-0.0284375,-0.121875,0.2790625,0.070625,-0.2103125,0.080625,-0.015,-0.0890625,-0.0159375
44,-0.28125,-0.029375,-0.1259375,0.285,0.081875,-0.2121875,0.075625,-0.0271875,-0.0853125,-0.0065625
45,-0.2771875,-0.02375,-0.11,0.278125,0.05875,-0.2196875,0.0609375,-0.0278125,-0.1065625,-0.009375
46,-0.2715625,-0.02375,-0.0925,0.2715625,0.0603125,-0.215625,0.0496875,-0.040625,-0.1128125,0.01375
47,-0.2565625,-0.020625,-0.0871875,0.263125,0.0665625,-0.213125,0.0634375,-0.0428125,-0.1115625,-0.0065625
48,-0.26375,-0.015,-0.0765625,0.2359375,0.045,-0.205,0.0940625,-0.0425,-0.099375,-0.008125
49,-0.276875,-0.00875,-0.0646875,0.2403125,0.066875,-0.2253125,0.089375,-0.030625,-0.095,-0.0103125
50,-0.2803125,-0.011875,-0.0746875,0.2075,0.061875,-0.2059375,0.0771875,-0.0178125,-0.0834375,0.0084375
51,-0.3053125,-0.018125,-0.0778125,0.2246875,0.0628125,-0.209375,0.080625,-0.0271875,-0.09625,0.0059375
52,-0.3071875,-0.0265625,-0.07625,0.2275,0.050625,-0.2115625,0.09625,-0.02375,-0.1115625,-0.0040625
53,-0.3284375,-0.034375,-0.0903125,0.221875,0.039375,-0.208125,0.09375,-0.005625,-0.12125,-0.0021875
54,-0.338125,-0.043125,-0.0990625,0.22125,0.034375,-0.2021875,0.0840625,-0.0009375,-0.1153125,-0.0025
55,-0.33625,-0.0371875,-0.116875,0.23,0.025625,-0.196875,0.0846875,-0.0196875,-0.1071875,0.0021875
56,-0.3490625,-0.0546875,-0.10875,0.2284375,0.0128125,-0.205,0.0978125,-0.0125,-0.100625,-0.005
57,-0.3553125,-0.041875,-0.1134375,0.2409375,0.013125,-0.2084375,0.0996875,0.008125,-0.0896875,-0.0121875
58,-0.3528125,-0.0553125,-0.104375,0.2378125,0.003125,-0.2203125,0.09375,-0.003125,-0.09125,-0.03125
59,-0.3728125,-0.0503125,-0.1,0.2325,0.006875,-0.218125,0.088125,-0.0059375,-0.0725,-0.01625
60,-0.36875,-0.0503125,-0.113125,0.22125,-0.011875,-0.235625,0.1084375,-0.0334375,-0.061875,-0.02
61,-0.3775,-0.0609375,-0.1053125,0.205,-0.008125,-0.2253125,0.1115625,-0.0365625,-0.07,-0.0328125
62,-0.3971875,-0.03875,-0.08625,0.210625,0.0040625,-0.219375,0.1175,-0.0403125,-0.0725,-0.04625
63,-0.3834375,-0.0128125,-0.0859375,0.223125,0.0015625,-0.2128125,0.1190625,-0.039375,-0.066875,-0.0540625
64,-0.3884375,-0.01,-0.085625,0.2490625,0.0009375,-0.219375,0.1075,-0.02625,-0.0534375,-0.059375
65,-0.381875,0.0065625,-0.0909375,0.255,0.0065625,-0.2246875,0.1209375,-0.0515625,-0.060625,-0.05
66,-0.3790625,0.025,-0.105625,0.2821875,0.02125,-0.230625,0.1240625,-0.0496875,-0.0740625,-0.0525
67,-0.3815625,0.0325,-0.1096875,0.2721875,0.0153125,-0.2128125,0.119375,-0.0421875,-0.0746875,-0.0590625
68,-0.36125,0.0084375,-0.10625,0.274375,0.0190625,-0.1978125,0.103125,-0.0578125,-0.080625,-0.06125
69,-0.3809375,-0.0078125,-0.0921875,0.2559375,0.025,-0.195625,0.108125,-0.0384375,-0.065,-0.053125
70,-0.361875,0.0028125,-0.09875,0.2471875,0.0178125,-0.1778125,0.11125,-0.0359375,-0.0678125,-0.08
71,-0.353125,-0.020625,-0.1153125,0.24,0.00625,-0.2034375,0.1228125,-0.04,-0.0490625,-0.0603125
72,-0.368125,-0.0053125,-0.1240625,0.275,-0.0025,-0.1978125,0.1184375,-0.0284375,-0.0525,-0.0275
73,-0.3784375,-0.0028125,-0.1071875,0.278125,0.0146875,-0.19875,0.1453125,-0.019375,-0.0465625,-0.0225
74,-0.3765625,0.0,-0.109375,0.260625,0.0,-0.19125,0.15,-0.0134375,-0.0590625,-0.043125
75,-0.371875,0.0021875,-0.1090625,0.2728125,0.0046875,-0.2221875,0.150625,0.0,-0.0490625,-0.0528125
76,-0.3634375,-0.0090625,-0.1353125,0.27375,-0.0028125,-0.23625,0.17125,-0.023125,-0.03375,-0.049375
77,-0.3671875,-0.0034375,-0.1325,0.264375,-0.0140625,-0.268125,0.175,-0.02375,-0.0553125,-0.0453125
78,-0.3621875,0.005,-0.145625,0.2596875,-0.025,-0.283125,0.205,-0.03125,-0.063125,-0.0678125
79,-0.3603125,-0.0009375,-0.1459375,0.260625,-0.02875,-0.285,0.205,-0.014375,-0.059375,-0.0696875
80,-0.364375,-0.0121875,-0.13375,0.255625,-0.055625,-0.2615625,0.20125,-0.0009375,-0.045,-0.0696875
81,-0.3971875,-0.0290625,-0.1165625,0.281875,-0.0784375,-0.254375,0.1934375,0.0059375,-0.04875,-0.079375
82,-0.39375,-0.019375,-0.1225,0.265625,-0.0821875,-0.2475,0.19625,-0.0059375,-0.0253125,-0.0790625
83,-0.365625,-0.014375,-0.115625,0.2615625,-0.085,-0.2371875,0.1778125,-0.0184375,-0.0475,-0.095
84,-0.35875,-0.015625,-0.086875,0.278125,-0.090625,-0.251875,0.17625,-0.0103125,-0.05,-0.0940625
85,-0.358125,-0.0078125,-0.0678125,0.3134375,-0.0965625,-0.2409375,0.18625,-0.0284375,-0.0625,-0.0925
86,-0.3778125,-0.010625,-0.066875,0.2965625,-0.11375,-0.23,0.1790625,-0.0171875,-0.0584375,-0.0890625
87,-0.3875,-0.015625,-0.0696875,0.309375,-0.1075,-0.238125,0.1865625,-0.0325,-0.0509375,-0.0684375
88,-0.390625,0.00125,-0.0696875,0.2890625,-0.120625,-0.25875,0.1890625,-0.0315625,-0.050625,-0.065625
89,-0.3759375,-0.0025,-0.08,0.30125,-0.1284375,-0.250625,0.1996875,-0.0390625,-0.0334375,-0.0665625
90,-0.3775,0.00875,-0.09375,0.318125,-0.123125,-0.253125,0.198125,-0.0471875,-0.043125,-0.0753125
91,-0.369375,0.0040625,-0.079375,0.3053125,-0.13375,-0.2475,0.195,-0.053125,-0.0375,-0.0628125
92,-0.385,0.0059375,-0.0834375,0.319375,-0.135,-0.2459375,0.1915625,-0.044375,-0.02125,-0.08
93,-0.3671875,0.00125,-0.0671875,0.31,-0.1278125,-0.2671875,0.1765625,-0.0396875,-0.0271875,-0.0946875
94,-0.3665625,0.0053125,-0.0415625,0.328125,-0.1428125,-0.266875,0.176875,-0.0375,-0.0421875,-0.085
95,-0.3765625,0.011875,-0.0453125,0.311875,-0.1496875,-0.265625,0.2053125,-0.039375,-0.040625,-0.091875
96,-0.3809375,-0.023125,-0.036875,0.30375,-0.1515625,-0.2546875,0.2125,-0.0203125,-0.0390625,-0.0871875
97,-0.3671875,-0.044375,-0.0284375,0.3065625,-0.1390625,-0.2471875,0.1959375,-0.0140625,-0.044375,-0.0921875
98,-0.3709375,-0.050625,-0.053125,0.3134375,-0.085625,-0.2625,0.193125,-0.015625,-0.0640625,-0.0821875
99,-0.3765625,-0.0696875,-0.055,0.3215625,-0.066875,-0.2653125,0.1946875,-0.026875,-0.0653125,-0.0665625
100,-0.3765625,-0.07625,-0.0621875,0.3353125,-0.0725,-0.271875,0.17375,-0.00625,-0.07,-0.0553125
101,-0.36625,-0.049375,-0.044375,0.3171875,-0.0784375,-0.273125,0.1771875,-0.001875,-0.0765625,-0.0471875
102,-0.365625,-0.0784375,-0.0484375,0.3275,-0.0803125,-0.2525,0.1778125,0.0034375,-0.0690625,-0.0528125
103,-0.3634375,-0.085,-0.05875,0.3153125,-0.0821875,-0.248125,0.1675,-0.0065625,-0.0815625,-0.05375
104,-0.363125,-0.0965625,-0.063125,0.314375,-0.0934375,-0.2409375,0.173125,-0.01625,-0.09875,-0.073125
105,-0.3503125,-0.105625,-0.0684375,0.3134375,-0.0953125,-0.25,0.175625,-0.019375,-0.11125,-0.065625
106,-0.3434375,-0.1128125,-0.088125,0.309375,-0.0603125,-0.2446875,0.1690625,-0.0196875,-0.0990625,-0.07375
107,-0.34625,-0.1046875,-0.0828125,0.3003125,-0.0515625,-0.2390625,0.1796875,-0.01875,-0.0784375,-0.0696875
108,-0.3534375,-0.110625,-0.085,0.2878125,-0.0465625,-0.2278125,0.1984375,-0.02625,-0.0878125,-0.07125
109,-0.333125,-0.0984375,-0.0815625,0.2971875,-0.035625,-0.240625,0.2034375,-0.0340625,-0.088125,-0.060625
110,-0.324375,-0.0925,-0.0909375,0.305625,-0.0309375,-0.2546875,0.208125,-0.0246875,-0.0834375,-0.078125
111,-0.321875,-0.1040625,-0.09875,0.3109375,-0.0425,-0.249375,0.1946875,-0.039375,-0.1090625,-0.0984375
112,-0.328125,-0.12125,-0.115625,0.3078125,-0.059375,-0.2303125,0.204375,-0.0328125,-0.1134375,-0.1078125
113,-0.2990625,-0.109375,-0.11875,0.3003125,-0.05125,-0.238125,0.214375,-0.0140625,-0.1271875,-0.1271875
114,-0.300625,-0.0853125,-0.1153125,0.289375,-0.0546875,-0.2271875,0.2084375,-0.01625,-0.1221875,-0.1196875
115,-0.32625,-0.07625,-0.1296875,0.28375,-0.0425,-0.20875,0.225,-0.015,-0.1321875,-0.1115625
116,-0.3103125,-0.075625,-0.1253125,0.2671875,-0.04125,-0.204375,0.2328125,0.000625,-0.14625,-0.1109375
117,-0.3371875,-0.0890625,-0.128125,0.275625,-0.056875,-0.1890625,0.2175,-0.0046875,-0.133125,-0.106875
118,-0.35125,-0.113125,-0.113125,0.27625,-0.06875,-0.185,0.225625,0.005625,-0.1296875,-0.1175
119,-0.3509375,-0.1171875,-0.1096875,0.281875,-0.0990625,-0.204375,0.2425,0.015,-0.125,-0.11875
120,-0.344375,-0.1171875,-0.1140625,0.2853125,-0.094375,-0.221875,0.2296875,0.01125,-0.1278125,-0.1378125
121,-0.348125,-0.1221875,-0.1165625,0.2734375,-0.0828125,-0.2128125,0.2153125,-0.001875,-0.1290625,-0.1496875
122,-0.330625,-0.1196875,-0.1196875,0.2690625,-0.0790625,-0.21125,0.2403125,0.02125,-0.1215625,-0.12875
123,-0.326875,-0.110625,-0.126875,0.2690625,-0.10125,-0.213125,0.233125,0.0365625,-0.1209375,-0.109375
124,-0.335625,-0.116875,-0.1515625,0.2690625,-0.1065625,-0.2203125,0.24625,0.04,-0.1159375,-0.1003125
125,-0.3346875,-0.11,-0.159375,0.260625,-0.1015625,-0.206875,0.2334375,0.0384375,-0.10625,-0.115625
126,-0.34625,-0.0946875,-0.1740625,0.25125,-0.105625,-0.1984375,0.195625,0.0321875,-0.1159375,-0.114375
127,-0.3628125,-0.105625,-0.170625,0.2596875,-0.105625,-0.195,0.2034375,0.0171875,-0.1284375,-0.1090625
128,-0.3821875,-0.1290625,-0.1746875,0.255,-0.1103125,-0.2015625,0.1978125,0.025,-0.1128125,-0.1028125
129,-0.3815625,-0.1228125,-0.1734375,0.2334375,-0.10875,-0.1846875,0.1953125,0.00375,-0.0996875,-0.124375
130,-0.375625,-0.1084375,-0.185,0.2365625,-0.098125,-0.1646875,0.209375,0.0084375,-0.1175,-0.1196875
131,-0.3675,-0.099375,-0.17125,0.2446875,-0.0984375,-0.1775,0.188125,0.0046875,-0.11125,-0.1103125
132,-0.3584375,-0.0846875,-0.1640625,0.255625,-0.110625,-0.1921875,0.1621875,0.0065625,-0.1046875,-0.0996875
133,-0.3628125,-0.085,-0.173125,0.255,-0.1265625,-0.203125,0.1675,0.014375,-0.106875,-0.110625
134,-0.3596875,-0.090625,-0.1759375,0.2596875,-0.1346875,-0.19125,0.1821875,-0.0003125,-0.1140625,-0.103125
135,-0.355,-0.0828125,-0.16375,0.24,-0.1428125,-0.1771875,0.1784375,0.0034375,-0.116875,-0.1
136,-0.3584375,-0.0678125,-0.15375,0.254375,-0.136875,-0.1890625,0.171875,0.0078125,-0.0971875,-0.1096875
137,-0.3721875,-0.0775,-0.140625,0.2371875,-0.1325,-0.194375,0.173125,0.0159375,-0.108125,-0.110625
138,-0.37625,-0.068125,-0.14625,0.218125,-0.1390625,-0.1915625,0.1690625,0.0246875,-0.0971875,-0.1134375
139,-0.3765625,-0.075,-0.1415625,0.213125,-0.1425,-0.1940625,0.1728125,0.0175,-0.0871875,-0.13375
140,-0.3840625,-0.07,-0.1390625,0.23125,-0.131875,-0.1940625,0.156875,0.0221875,-0.0871875,-0.13625
141,-0.393125,-0.083125,-0.145,0.2525,-0.1340625,-0.1928125,0.165,0.0240625,-0.0775,-0.1478125
142,-0.390625,-0.0925,-0.15375,0.2503125,-0.1146875,-0.1984375,0.1465625,0.0075,-0.086875,-0.1496875
143,-0.415625,-0.10875,-0.159375,0.230625,-0.126875,-0.21375,0.1490625,0.0315625,-0.0784375,-0.1478125
144,-0.4153125,-0.0909375,-0.1475,0.229375,-0.14375,-0.2203125,0.156875,0.0321875,-0.0896875,-0.16
145,-0.41125,-0.0909375,-0.1559375,0.225,-0.153125,-0.22,0.1559375,0.036875,-0.096875,-0.15
146,-0.419375,-0.0871875,-0.1596875,0.2378125,-0.155,-0.211875,0.160625,0.041875,-0.0871875,-0.145625
147,-0.4028125,-0.074375,-0.1715625,0.2478125,-0.1640625,-0.2378125,0.1690625,0.03875,-0.1178125,-0.1375
