,m1,m2,m3,m4,m5,m6,m7,m8,m9,m10
57,0.11875,0.525,-0.03875,0.22375,-0.4625,0.9,-0.08125,-0.255,-0.14125,-0.12375
58,0.125,0.52625,-0.01875,0.225,-0.48375,0.88875,-0.0825,-0.275,-0.14,-0.13375
59,0.10875,0.51375,-0.01,0.22,-0.4925,0.89625,-0.0925,-0.26625,-0.15,-0.14
60,0.13625,0.53,-0.01,0.24,-0.48625,0.89875,-0.105,-0.28125,-0.15375,-0.13
61,0.14,0.5425,-0.00375,0.24625,-0.50875,0.9025,-0.0925,-0.2825,-0.1525,-0.13
62,0.13125,0.56375,0.00875,0.26125,-0.52375,0.9025,-0.09,-0.29125,-0.16125,-0.12875
63,0.145,0.5725,-0.0075,0.2725,-0.54,0.9125,-0.0775,-0.3,-0.175,-0.12625
64,0.16625,0.575,-0.0075,0.2825,-0.54375,0.91625,-0.07,-0.2975,-0.17625,-0.125
65,0.1725,0.5825,-0.01125,0.30125,-0.56,0.92625,-0.085,-0.305,-0.1625,-0.1275
66,0.18,0.61,-0.02125,0.3075,-0.5675,0.93,-0.0825,-0.30625,-0.1675,-0.135
67,0.18375,0.61875,-0.02625,0.3125,-0.565,0.93875,-0.06875,-0.30125,-0.16375,-0.13625
68,0.1875,0.6225,-0.03125,0.31375,-0.565,0.9425,-0.055,-0.30375,-0.18,-0.13625
69,0.19,0.61,-0.0425,0.32125,-0.57875,0.94625,-0.06125,-0.29625,-0.18375,-0.1275
70,0.185,0.61375,-0.04875,0.33375,-0.57125,0.945,-0.07,-0.3075,-0.19,-0.12
71,0.195,0.6125,-0.04125,0.34875,-0.57,0.95125,-0.075,-0.3325,-0.18625,-0.1275
72,0.20625,0.6225,-0.04,0.3475,-0.58,0.95875,-0.075,-0.33125,-0.17125,-0.1375
73,0.19375,0.62625,-0.0425,0.33,-0.57625,0.96,-0.09,-0.3425,-0.175,-0.145
74,0.20375,0.6325,-0.0275,0.3275,-0.6,0.9625,-0.09,-0.33875,-0.19,-0.1475
75,0.21125,0.6425,-0.01875,0.3375,-0.62625,0.9525,-0.08875,-0.36375,-0.19875,-0.14375
76,0.2125,0.65625,-0.015,0.35,-0.6175,0.95125,-0.09125,-0.37125,-0.18875,-0.1325
77,0.21125,0.6825,-0.02,0.35375,-0.6075,0.95875,-0.09,-0.3675,-0.2025,-0.1375
78,0.2225,0.67375,-0.03625,0.33875,-0.62,0.95875,-0.0975,-0.35625,-0.20625,-0.13875
79,0.21375,0.6775,-0.03,0.3475,-0.615,0.96,-0.11125,-0.36125,-0.22375,-0.12125
80,0.2075,0.66125,-0.01875,0.3425,-0.63,0.9575,-0.1075,-0.385,-0.245,-0.1125
81,0.20875,0.67,-0.005,0.355,-0.6375,0.97,-0.1025,-0.37,-0.23625,-0.11125
82,0.21125,0.6875,0.00125,0.37875,-0.6525,0.97125,-0.11875,-0.3875,-0.2475,-0.1175
83,0.20625,0.68,0.005,0.3875,-0.66125,0.97625,-0.10375,-0.38375,-0.2475,-0.125
84,0.2125,0.68875,0.01125,0.39125,-0.6725,0.98125,-0.1325,-0.3825,-0.27625,-0.13
85,0.21625,0.71,0.015,0.39625,-0.66875,0.9775,-0.13125,-0.39125,-0.28,-0.12875
86,0.23,0.7125,0.01375,0.3825,-0.6725,0.98875,-0.1325,-0.41125,-0.28875,-0.1225
87,0.225,0.71125,0.01125,0.37875,-0.675,0.99125,-0.13,-0.4225,-0.3,-0.12
88,0.20625,0.725,0.00125,0.37875,-0.695,0.9975,-0.125,-0.415,-0.305,-0.11625
89,0.2,0.72875,0.01125,0.3725,-0.68875,1.0,-0.11875,-0.39875,-0.30625,-0.12375
90,0.21875,0.73,0.00125,0.37,-0.695,0.99875,-0.1175,-0.4,-0.325,-0.1375
91,0.2225,0.73625,0.00375,0.37875,-0.69625,0.99625,-0.12375,-0.42,-0.32125,-0.1475
92,0.21375,0.72625,0.0075,0.38375,-0.695,0.9975,-0.1425,-0.41,-0.32875,-0.145
93,0.23125,0.72375,0.0225,0.38375,-0.70125,0.99875,-0.13,-0.4225,-0.32125,-0.16
94,0.24,0.7225,0.0325,0.40125,-0.71125,1.0,-0.13125,-0.4275,-0.3225,-0.1625
95,0.245,0.72625,0.02375,0.40625,-0.72,1.0,-0.135,-0.43625,-0.32375,-0.155
96,0.2575,0.72875,0.015,0.41875,-0.72125,1.0,-0.14875,-0.44875,-0.32375,-0.15875
97,0.27,0.71875,0.03375,0.45,-0.725,1.0,-0.145,-0.4425,-0.31875,-0.15625
98,0.26875,0.72625,0.04875,0.4675,-0.73,0.99875,-0.16875,-0.4625,-0.32,-0.16375
99,0.28875,0.72,0.05625,0.465,-0.74125,1.0,-0.17625,-0.4675,-0.3125,-0.165
100,0.30375,0.7175,0.05625,0.47875,-0.74625,0.99875,-0.1875,-0.4525,-0.3175,-0.1725
101,0.30375,0.71625,0.05625,0.4675,-0.7625,1.0,-0.17625,-0.44875,-0.2975,-0.1725
102,0.31625,0.715,0.06,0.47,-0.76875,1.0,-0.15375,-0.4575,-0.30625,-0.17125
103,0.30125,0.71375,0.0725,0.49375,-0.7725,1.0,-0.15125,-0.45125,-0.31375,-0.18
104,0.3075,0.71875,0.07,0.51,-0.775,1.0,-0.175,-0.44875,-0.31375,-0.1725
105,0.29875,0.73375,0.07875,0.51875,-0.7825,1.0,-0.17125,-0.46875,-0.3175,-0.18
106,0.2975,0.735,0.08,0.53875,-0.78625,1.0,-0.1675,-0.475,-0.34,-0.19
107,0.3175,0.7325,0.0825,0.545,-0.78875,0.99875,-0.1625,-0.47375,-0.3675,-0.19625
108,0.32,0.745,0.08,0.55875,-0.79375,1.0,-0.165,-0.4625,-0.3725,-0.20125
109,0.3225,0.75,0.0875,0.55625,-0.795,1.0,-0.1775,-0.47375,-0.38375,-0.195
110,0.3125,0.75625,0.095,0.5625,-0.8025,1.0,-0.17,-0.48,-0.4,-0.185
111,0.325,0.76625,0.10125,0.575,-0.8025,1.0,-0.165,-0.4775,-0.3975,-0.1925
112,0.31875,0.7675,0.09625,0.59625,-0.80375,1.0,-0.17625,-0.48,-0.4125,-0.18
113,0.31625,0.77625,0.0925,0.6075,-0.8075,1.0,-0.165,-0.47625,-0.40875,-0.17875
114,0.32125,0.77375,0.085,0.60875,-0.81125,1.0,-0.18375,-0.475,-0.41875,-0.18125
115,0.31375,0.78,0.08125,0.62125,-0.8125,1.0,-0.1925,-0.4775,-0.43125,-0.175
116,0.305,0.7775,0.075,0.6225,-0.81875,1.0,-0.18,-0.48375,-0.43375,-0.18875
117,0.31,0.77,0.09875,0.62875,-0.80625,1.0,-0.17375,-0.48375,-0.43875,-0.19375
118,0.3125,0.785,0.11125,0.62375,-0.805,1.0,-0.17,-0.50125,-0.43,-0.18125
119,0.3,0.79375,0.115,0.64625,-0.82125,1.0,-0.1825,-0.50875,-0.435,-0.18
120,0.3025,0.7775,0.1,0.64875,-0.82125,1.0,-0.1625,-0.51625,-0.4475,-0.17
121,0.31,0.79625,0.09375,0.6425,-0.83625,0.99875,-0.165,-0.5225,-0.4525,-0.1575
122,0.30625,0.815,0.09125,0.6525,-0.84,0.99875,-0.1725,-0.52875,-0.45875,-0.15625
123,0.29125,0.81375,0.09625,0.6575,-0.8475,0.99875,-0.195,-0.52625,-0.455,-0.155
124,0.305,0.82375,0.0875,0.65375,-0.8425,0.99875,-0.1975,-0.55875,-0.46375,-0.1525
125,0.32375,0.83125,0.08625,0.655,-0.8425,0.99875,-0.1925,-0.56875,-0.4675,-0.16
126,0.3175,0.835,0.07125,0.66625,-0.85,0.99875,-0.18625,-0.55875,-0.46875,-0.16
127,0.33875,0.8275,0.0775,0.665,-0.85,1.0,-0.19625,-0.555,-0.48125,-0.15875
128,0.34625,0.8275,0.08875,0.67375,-0.85125,1.0,-0.21375,-0.56875,-0.4925,-0.16125
129,0.34875,0.83,0.09125,0.675,-0.86625,1.0,-0.2375,-0.58,-0.48375,-0.1525
130,0.3575,0.845,0.10375,0.67625,-0.86875,1.0,-0.25125,-0.57375,-0.48375,-0.1375
131,0.365,0.85375,0.11,0.6825,-0.8675,1.0,-0.27625,-0.58125,-0.485,-0.12625
132,0.3625,0.87,0.11,0.685,-0.865,0.99875,-0.2725,-0.59125,-0.48875,-0.1175
133,0.37,0.8775,0.10875,0.675,-0.86625,0.9975,-0.29625,-0.5925,-0.49625,-0.10875
134,0.39125,0.87625,0.11875,0.67125,-0.87375,0.9975,-0.30375,-0.5925,-0.49375,-0.11
135,0.385,0.875,0.115,0.6875,-0.8775,1.0,-0.31,-0.58875,-0.505,-0.10125
136,0.39375,0.895,0.11125,0.6825,-0.88,0.99875,-0.325,-0.5825,-0.51125,-0.10125
137,0.405,0.895,0.11,0.69375,-0.88875,1.0,-0.32625,-0.5825,-0.52375,-0.11
138,0.40875,0.89125,0.1225,0.68625,-0.8875,1.0,-0.3325,-0.5925,-0.515,-0.1075
139,0.42875,0.89875,0.12375,0.6775,-0.88625,1.0,-0.32875,-0.58625,-0.51375,-0.11875
140,0.435,0.8975,0.11125,0.68875,-0.89,1.0,-0.33,-0.60125,-0.53,-0.11125
141,0.43875,0.91125,0.12375,0.6925,-0.89,0.99875,-0.3275,-0.60125,-0.53375,-0.1225
142,0.44875,0.9175,0.13625,0.705,-0.8975,0.99875,-0.34625,-0.61875,-0.55,-0.11875
143,0.4375,0.9225,0.12625,0.7125,-0.90625,1.0,-0.35875,-0.6175,-0.56,-0.1125
144,0.46,0.91625,0.12625,0.72125,-0.9125,1.0,-0.37375,-0.6225,-0.58,-0.1125
145,0.46375,0.93,0.115,0.72875,-0.9225,1.0,-0.36875,-0.6325,-0.58375,-0.09625
146,0.4725,0.93375,0.11125,0.72875,-0.93125,1.0,-0.3725,-0.63125,-0.6075,-0.09875
147,0.47125,0.93875,0.12125,0.725,-0.9325,0.99875,-0.3775,-0.63125,-0.6175,-0.105
